TIMESTAMP,AZIMUTH,DISTANCE,SIGNAL_STRENGTH
1504844424226,1812,129,175
-1,4562,127,175
-1,7312,118,183
-1,9750,112,199
-1,17875,48,98
-1,21000,40,183
-1,23750,39,183
-1,27000,47,175
-1,30125,44,183
-1,32687,38,191
-1,36187,35,167
-1,39250,22,183
-1,42375,17,191
-1,53000,18,70
-1,55562,14,183
-1,58125,19,183
-1,60500,20,191
-1,62687,17,199
-1,64875,18,199
-1,67625,9,191
-1,75375,22,98
-1,83687,19,98
-1,96062,20,50
-1,104250,51,98
-1,106750,56,191
-1,109500,57,183
-1,112437,56,191
-1,115687,53,191
-1,118812,60,167
-1,127375,53,98
-1,132687,54,175
-1,135250,64,191
-1,137812,65,191
-1,140562,65,191
-1,143312,68,191
-1,146062,70,191
-1,148812,71,191
-1,151562,77,191
-1,154250,84,191
-1,166875,138,35
-1,179687,118,40
-1,182250,138,199
-1,184812,140,191
-1,188125,227,175
-1,190687,161,183
-1,193750,194,175
-1,203625,264,72
-1,206187,339,191
-1,208750,344,183
-1,211312,345,191
-1,214062,349,191
-1,216812,347,191
-1,219562,347,183
-1,222500,358,191
-1,225062,362,191
-1,227687,369,199
-1,230250,377,191
-1,232812,381,191
-1,235562,359,191
-1,242250,133,191
-1,244625,74,191
-1,247687,71,191
-1,250250,71,183
-1,252812,71,191
-1,255375,72,191
-1,257937,68,191
-1,260500,64,191
-1,263062,62,191
-1,265812,62,191
-1,268375,59,183
-1,271125,54,183
-1,273875,58,191
-1,276625,57,191
-1,279875,84,191
-1,282062,196,191
-1,284250,197,199
-1,286500,197,199
-1,289000,194,199
-1,291562,192,199
-1,294125,194,199
-1,296687,195,199
-1,299062,195,199
-1,301250,194,199
-1,303500,196,199
-1,305687,198,199
-1,307875,201,199
-1,310062,205,199
-1,312250,208,199
-1,314437,209,199
-1,316625,213,199
-1,319187,205,191
-1,321750,194,199
-1,324312,172,191
-1,326875,161,199
-1,329437,156,191
-1,332187,159,191
-1,340937,166,84
-1,343875,159,159
-1,347187,147,167
-1,350250,147,175
-1,352812,135,183
-1,355562,137,191
-1,358875,139,175
1504844424226,1812,125,183
-1,4375,127,191
-1,7187,119,183
-1,9562,112,199
-1,14000,64,167
-1,17125,47,175
-1,20437,42,175
-1,22812,35,175
-1,26500,44,159
-1,29750,39,159
-1,32312,39,191
-1,35437,34,191
-1,38375,19,167
-1,41125,17,175
-1,52625,23,70
-1,55187,22,191
-1,57750,19,191
-1,60312,18,191
-1,62875,18,199
-1,65062,18,199
-1,68187,14,191
-1,76312,22,98
-1,85125,15,84
-1,97500,13,40
-1,104562,51,112
-1,107125,59,191
-1,109875,59,183
-1,112437,54,191
-1,115687,54,191
-1,118625,69,175
-1,126875,51,98
-1,131250,52,183
-1,137625,65,112
-1,140187,63,191
-1,142937,69,191
-1,145687,67,191
-1,148437,71,191
-1,151187,74,191
-1,153937,79,191
-1,166500,150,45
-1,179500,1,50
-1,182062,134,199
