TIMESTAMP,AZIMUTH,DISTANCE,SIGNAL_STRENGTH
-1,209.125,346,191
-1,211.875,345,191
-1,214.625,345,191
-1,217.375,349,191
-1,220.125,354,191
-1,222.687,359,183
-1,225.25,368,191
-1,227.875,371,199
-1,230.437,381,191
-1,233.187,361,191
-1,235.937,339,183
-1,238.75,315,191
-1,241.5,297,191
-1,248.062,78,112
-1,250.812,71,183
-1,253.375,69,191
-1,255.937,65,183
-1,258.5,65,183
-1,261.25,62,191
-1,264.187,62,191
-1,266.687,61,183
-1,269.25,61,183
-1,271.75,60,191
-1,274.5,63,191
-1,277.187,61,183
-1,279.937,173,167
-1,282.312,196,199
-1,284.5,194,199
-1,286.812,194,199
-1,289.437,194,199
-1,292.0,193,199
-1,294.187,194,199
-1,296.437,193,199
-1,298.625,193,199
-1,300.875,197,199
-1,303.062,200,199
-1,305.25,199,199
-1,307.5,204,199
-1,309.687,206,199
-1,311.875,207,199
-1,314.437,211,199
-1,317.187,205,191
-1,319.937,199,199
-1,322.312,172,191
-1,324.875,161,199
-1,327.437,157,191
-1,330.0,159,191
-1,339.125,169,84
-1,342.625,151,159
-1,345.687,143,175
-1,348.812,145,175
-1,351.937,133,191
-1,355.062,125,175
-1,357.937,130,183
1504844544953,0.687,124,167
-1,3.25,124,183
-1,6.0,115,191
-1,8.75,112,199
-1,16.625,44,98
-1,19.187,42,183
-1,22.437,42,175
-1,25.937,43,159
-1,28.687,37,175
-1,31.25,38,191
-1,34.687,35,167
-1,37.812,20,183
-1,42.187,23,183
-1,51.437,17,84
-1,54.187,17,191
-1,56.937,17,191
-1,59.687,18,191
-1,62.125,17,199
-1,64.687,18,199
-1,68.562,28,159
-1,71.625,17,175
-1,75.5,17,159
-1,85.562,17,84
-1,98.062,22,45
-1,100.625,56,175
-1,103.125,57,191
-1,105.687,55,191
-1,108.375,58,167
-1,111.312,54,191
-1,115.0,58,183
-1,118.437,69,183
-1,126.312,42,98
-1,134.875,62,84
-1,137.437,65,191
-1,140.187,67,191
-1,142.937,65,199
-1,145.687,71,191
-1,148.437,73,191
-1,151.187,73,199
-1,153.937,100,191
-1,166.625,1,40
-1,179.5,143,40
-1,182.187,150,183
-1,185.5,185,199
-1,188.562,166,159
-1,191.625,188,183
-1,202.187,261,65
-1,204.75,338,191
-1,207.5,341,183
-1,210.25,346,191
-1,213.0,348,191
-1,215.687,345,191
-1,218.437,347,191
-1,221.375,355,183
-1,224.0,362,191
-1,226.562,373,191
-1,229.125,378,191
-1,231.875,379,191
-1,234.687,347,191
-1,237.437,326,191
-1,239.812,309,191
-1,244.625,146,191
-1,247.187,78,183
-1,249.875,72,183
-1,252.625,70,191
-1,255.375,64,183
-1,258.125,64,183
-1,260.875,61,183
-1,263.625,60,191
-1,266.312,61,183
-1,269.062,62,183
-1,271.75,60,191
-1,274.5,60,191
-1,277.187,62,183
-1,279.937,169,167
-1,282.312,196,199
-1,284.5,197,199
-1,287.187,192,199
-1,289.625,194,199
-1,291.812,192,199
-1,294.062,194,199
-1,296.25,193,199
-1,298.437,195,199
-1,300.687,197,199
-1,302.875,199,199
-1,305.437,200,199
-1,308.062,203,199
-1,310.625,206,199
-1,313.375,209,199
-1,315.875,214,191
-1,318.625,194,199
-1,321.375,184,191
-1,324.125,164,191
-1,326.875,155,199
-1,329.625,158,191
-1,333.25,166,183
-1,341.5,165,98
-1,344.625,150,167
-1,347.75,144,167
-1,350.437,134,175
-1,353.562,139,175
-1,356.687,129,175
-1,360.0,132,183
1504844544953,2.687,126,183
-1,5.25,116,183
-1,7.812,111,199
-1,15.875,48,98
-1,18.812,39,175
-1,21.562,40,183
-1,25.0,39,167
-1,28.125,38,167
-1,30.687,39,191
-1,34.187,42,167
-1,37.25,23,175
-1,39.812,13,183
-1,50.875,20,70
-1,53.437,17,183
-1,56.0,13,183
-1,58.625,18,191
-1,61.187,17,199
-1,63.375,17,199
-1,66.312,13,191
-1,69.437,29,167
-1,72.562,8,175
-1,81.125,18,98
-1,93.875,28,45
-1,102.437,47,84
-1,104.937,55,191
-1,107.875,60,191
-1,110.562,54,191
-1,113.875,58,191
-1,116.812,61,167
-1,125.562,51,84
-1,131.25,54,175
-1,134.0,63,191
-1,136.562,66,183
-1,139.312,67,191
-1,142.0,69,191
-1,144.75,70,191
-1,147.5,68,191
-1,150.25,73,191
-1,153.0,90,191
-1,165.875,1,45
-1,178.75,137,60
-1,181.687,150,199
-1,184.187,147,199
-1,187.625,213,175
-1,190.75,178,183
-1,194.187,205,159
-1,197.625,210,191
-1,204.187,335,126
-1,206.75,341,191
-1,209.5,345,191
-1,212.25,347,191
-1,215.0,346,191
-1,217.75,348,191
-1,220.625,355,191
-1,223.25,361,183
-1,226.0,368,191
-1,228.75,378,191
-1,231.562,378,191
-1,234.312,354,191
-1,237.062,328,191
-1,239.812,310,191
-1,244.812,115,191
-1,247.5,77,183
-1,250.062,75,183
-1,252.812,68,183
-1,255.375,67,191
-1,258.125,64,183
-1,260.875,60,183
-1,263.625,63,191
-1,266.5,62,183
-1,269.25,63,191
-1,271.937,63,191
-1,274.687,59,191
-1,277.375,65,191
-1,280.5,173,159
-1,282.812,197,199
-1,285.0,196,199
-1,287.562,192,199
-1,290.0,192,199
-1,292.187,193,199
-1,294.375,193,199
-1,296.625,194,199
-1,298.812,195,199
-1,301.062,198,199
-1,303.25,198,199
-1,305.812,201,199
-1,308.437,205,199
-1,311.125,208,199
-1,313.375,211,199
-1,315.875,215,199
-1,318.437,196,199
-1,321.0,185,191
-1,323.75,168,199
-1,326.312,155,199
-1,329.062,158,191
-1,332.187,164,191
-1,340.562,164,98
-1,343.687,151,167
-1,346.812,148,175
-1,349.937,137,175
-1,352.812,131,175
-1,355.937,134,175
-1,359.25,126,175
1504844544954,2.187,124,183
-1,4.875,122,183
-1,7.312,112,199
-1,11.687,77,199
-1,14.75,43,175
-1,17.687,42,183
-1,21.0,42,175
-1,24.125,42,167
-1,27.562,45,159
-1,30.125,35,191
-1,33.25,40,183
-1,40.375,20,112
-1,51.25,15,70
-1,53.812,22,183
-1,56.375,17,191
-1,58.937,17,191
-1,61.562,15,199
-1,64.125,17,199
-1,67.625,23,167
-1,70.75,19,183
-1,74.187,19,167
-1,83.187,20,84
-1,95.875,27,45
-1,102.937,55,112
-1,105.5,57,191
-1,108.562,57,175
-1,111.125,54,191
-1,114.812,52,175
-1,118.437,67,191
-1,126.125,43,98
-1,135.25,62,84
-1,137.812,64,191
-1,140.375,66,191
-1,143.125,65,199
-1,145.875,71,191
-1,148.625,72,191
-1,151.375,75,191
-1,154.125,100,191
-1,166.812,237,45
-1,179.5,145,45
-1,182.0,151,183
-1,184.937,171,199
-1,192.187,186,98
-1,202.187,273,72
-1,204.75,339,191
-1,207.5,343,183
-1,210.062,344,191
-1,212.625,349,191
-1,215.375,346,191
-1,218.062,347,191
-1,220.625,353,191
-1,223.437,362,191
-1,226.0,369,191
-1,228.562,374,191
-1,231.187,384,191
-1,233.75,353,191
-1,236.312,332,183
-1,239.062,314,191
-1,241.875,299,191
-1,244.937,82,159
-1,247.5,76,191
-1,250.25,73,183
-1,253.0,67,191
-1,255.75,66,191
-1,258.5,63,183
-1,261.25,63,183
-1,264.187,64,183
-1,266.687,57,183
-1,269.437,59,191
-1,272.125,61,191
-1,274.875,61,191
-1,277.937,62,191
-1,280.5,196,191
-1,282.812,196,199
-1,285.0,194,199
-1,287.375,194,199
-1,290.0,195,199
-1,292.562,195,199
-1,294.937,192,199
-1,297.187,194,199
-1,299.375,194,199
-1,301.562,199,199
-1,303.812,198,199
-1,306.0,202,199
-1,308.25,206,199
-1,310.437,207,199
-1,313.0,211,199
-1,315.562,212,199
-1,317.75,197,199
-1,320.312,192,199
-1,322.875,169,199
-1,325.437,158,199
-1,328.0,157,191
-1,330.875,158,191
-1,339.312,166,84
-1,342.937,156,167
-1,346.062,148,175
-1,349.187,144,175
-1,352.312,137,183
-1,355.375,139,167
-1,357.937,129,183
1504844544955,0.875,126,183
-1,4.0,126,191
-1,6.375,115,191
-1,8.937,111,199
-1,16.437,44,98
-1,19.687,42,175
-1,22.812,40,175
-1,26.312,51,159
-1,28.875,39,183
-1,31.625,37,191
-1,35.25,30,159
-1,37.812,20,183
-1,42.562,7,175
-1,51.562,17,84
-1,54.375,19,183
-1,57.125,18,191
-1,59.687,18,199
-1,62.125,17,199
-1,64.687,15,199
-1,68.187,25,167
-1,71.25,22,167
-1,74.75,20,167
-1,84.812,15,84
-1,97.312,22,40
-1,103.5,55,126
-1,106.062,56,183
-1,109.125,57,159
-1,111.687,55,191
-1,121.75,63,84
-1,124.312,33,175
-1,127.062,45,183
-1,135.25,66,98
-1,137.812,63,199
-1,140.562,71,191
-1,143.312,66,191
-1,145.687,70,191
-1,148.25,73,191
-1,150.812,77,191
-1,153.375,96,191
-1,166.25,1,25
-1,178.75,140,35
-1,181.312,152,191
-1,183.812,139,199
-1,187.312,219,183
-1,190.375,167,183
-1,193.812,200,159
-1,197.25,201,191
-1,204.187,333,112
-1,206.937,342,191
-1,209.5,346,191
